Nest Box,Radial Zone,NLCD Year,Developed m2,Development P,Development %,Natural m2,Natural P,Natural %,Agriculture m2,Agriculture P,Agriculture %,Other m2,Other P,Other %,Total m2,Study Year,Occupancy,Success
139,725,2006,22500,0.013609145,1.36,816300,0.493739793,49.37,98100,0.059335874,5.93,716400,0.433315188,43.33,1653300,2004,.,.
140,725,2006,176400,0.107103825,10.71,225000,0.136612022,13.66,90000,0.054644809,5.46,1155600,0.701639344,70.16,1647000,2004,.,.
140.1,725,2006,65700,0.039803708,3.98,118800,0.071973828,7.2,11700,0.007088332,0.71,1454400,0.881134133,88.11,1650600,2004,.,.
140.2,725,2006,27000,0.016366612,1.64,697500,0.422804146,42.28,245700,0.14893617,14.89,679500,0.411893071,41.19,1649700,2004,.,.
141,725,2006,36000,0.021798365,2.18,533700,0.323160763,32.32,114300,0.069209809,6.92,967500,0.585831063,58.58,1651500,2004,.,.
142,725,2006,31500,0.019104803,1.91,572400,0.347161572,34.72,45000,0.027292576,2.73,999900,0.606441048,60.64,1648800,2004,.,.
142.1,725,2006,106200,0.064622125,6.46,480600,0.292442497,29.24,123300,0.075027382,7.5,933300,0.567907996,56.79,1643400,2004,.,.
143,725,2006,77400,0.04681546,4.68,600300,0.363091998,36.31,4500,0.002721829,0.27,971100,0.587370713,58.74,1653300,2004,.,.
144,725,2006,176400,0.106870229,10.69,288900,0.175027263,17.5,80100,0.048527808,4.85,1105200,0.6695747,66.96,1650600,2004,.,.
145,725,2006,40500,0.024536532,2.45,479700,0.290621592,29.06,51300,0.031079607,3.11,1079100,0.653762268,65.38,1650600,2004,.,.
145.1,725,2006,47700,0.028945931,2.89,743400,0.451119607,45.11,0,0,0,856800,0.519934462,51.99,1647900,2004,.,.
146,725,2006,36900,0.022367703,2.24,442800,0.268412439,26.84,51300,0.031096563,3.11,1118700,0.678123295,67.81,1649700,2004,.,.
147,725,2006,37800,0.02295082,2.3,385200,0.233879781,23.39,0,0,0,1224000,0.743169399,74.32,1647000,2004,.,.
148,725,2006,8100,0.004904632,0.49,369000,0.223433243,22.34,81900,0.049591281,4.96,1192500,0.722070845,72.21,1651500,2004,.,.
149,725,2006,56700,0.034295046,3.43,213300,0.129014698,12.9,111600,0.067501361,6.75,1271700,0.769188895,76.92,1653300,2004,.,.
150,725,2006,31500,0.019042437,1.9,557100,0.336779108,33.68,10800,0.006528836,0.65,1054800,0.637649619,63.76,1654200,2004,.,.
1,1200,2006,56700,0.012524851,1.25,1781100,0.393439364,39.34,414900,0.091650099,9.17,2274300,0.502385686,50.24,4527000,2004,-1,.
2,1200,2006,68400,0.015112348,1.51,1388700,0.306820441,30.68,1001700,0.221316365,22.13,2067300,0.456750845,45.68,4526100,2004,0,.
3,1200,2006,167400,0.037073949,3.71,1237500,0.274068168,27.41,1082700,0.239784732,23.98,2027700,0.449073151,44.91,4515300,2004,1,0
4,1200,2006,140400,0.031044776,3.1,569700,0.125970149,12.6,911700,0.20159204,20.16,2900700,0.641393035,64.14,4522500,2004,-1,.
4.1,1200,2006,24300,0.005379558,0.54,1058400,0.234309623,23.43,269100,0.05957362,5.96,3165300,0.700737199,70.07,4517100,2004,.,.
5,1200,2006,307800,0.068141064,6.81,1075500,0.238095238,23.81,1757700,0.389121339,38.91,1376100,0.304642359,30.46,4517100,2004,1,0
6,1200,2006,18900,0.00417495,0.42,765000,0.168986083,16.9,1179000,0.260437376,26.04,2564100,0.56640159,56.64,4527000,2004,1,0
7,1200,2006,0,0,0,513000,0.11327504,11.33,135000,0.029809221,2.98,3880800,0.856915739,85.69,4528800,2004,1,0
8,1200,2006,222300,0.049330937,4.93,526500,0.116836429,11.68,548100,0.121629718,12.16,3209400,0.712202916,71.22,4506300,2004,0,.
9,1200,2006,201600,0.04467491,4.47,1610100,0.356800957,35.68,604800,0.134024731,13.4,2096100,0.464499402,46.45,4512600,2004,.,.
9.1,1200,2006,223200,0.049412234,4.94,894600,0.19804742,19.8,2064600,0.45706316,45.71,1334700,0.295477187,29.55,4517100,2004,1,0
9.2,1200,2006,207900,0.04595186,4.6,942300,0.208275313,20.83,2140200,0.473045554,47.3,1233900,0.272727273,27.27,4524300,2004,.,.
10,1200,2006,110700,0.02445328,2.45,1501200,0.331610338,33.16,370800,0.081908549,8.19,2544300,0.562027833,56.2,4527000,2004,-1,.
10.1,1200,2006,36000,0.007972892,0.8,425700,0.09427945,9.43,282600,0.062587204,6.26,3771000,0.835160454,83.52,4515300,2004,.,.
11,1200,2006,143100,0.031648089,3.16,1321200,0.292197452,29.22,991800,0.219347134,21.93,2065500,0.456807325,45.68,4521600,2004,0,.
12,1200,2006,71100,0.015733918,1.57,1450800,0.321051583,32.11,298800,0.066122286,6.61,2698200,0.597092213,59.71,4518900,2004,-1,.
12.1,1200,2006,70200,0.015531661,1.55,689400,0.152528873,15.25,19800,0.004380725,0.44,3740400,0.827558742,82.76,4519800,2004,.,.
13,1200,2006,72000,0.015923567,1.59,1498500,0.331409236,33.14,200700,0.044386943,4.44,2750400,0.608280255,60.83,4521600,2004,0,.
14,1200,2006,107100,0.023648649,2.36,1654200,0.365262321,36.53,190800,0.042130366,4.21,2576700,0.568958665,56.9,4528800,2004,1,5
14.1,1200,2006,60300,0.013333333,1.33,945000,0.208955224,20.9,21600,0.004776119,0.48,3495600,0.772935323,77.29,4522500,2004,.,.
15,1200,2006,36000,0.007964954,0.8,1431000,0.31660693,31.66,954900,0.21127041,21.13,2097900,0.464157706,46.42,4519800,2004,0,.
16,1200,2006,210600,0.046650718,4.67,1071000,0.237240829,23.72,1064700,0.235845295,23.58,2168100,0.480263158,48.03,4514400,2004,1,0
17,1200,2006,91800,0.02030659,2.03,1573200,0.347999204,34.8,974700,0.215608202,21.56,1881000,0.416086004,41.61,4520700,2004,0,.
18,1200,2006,27000,0.005971338,0.6,1246500,0.275676752,27.57,402300,0.08897293,8.9,2845800,0.629378981,62.94,4521600,2004,0,.
19,1200,2006,14400,0.003186616,0.32,353700,0.078271261,7.83,43200,0.009559849,0.96,4107600,0.908982274,90.9,4518900,2004,-1,.
19.1,1200,2006,275400,0.060883406,6.09,799200,0.176681257,17.67,0,0,0,3448800,0.762435336,76.24,4523400,2004,.,.
20,1200,2006,11700,0.00258655,0.26,803700,0.177676084,17.77,702000,0.155192996,15.52,3006000,0.664544369,66.45,4523400,2004,0,.
21,1200,2006,190800,0.042306925,4.23,1787400,0.396328078,39.63,1027800,0.227898623,22.79,1503900,0.333466374,33.35,4509900,2004,1,0
22,1200,2006,197100,0.043712575,4.37,1038600,0.230339321,23.03,415800,0.092215569,9.22,2857500,0.633732535,63.37,4509000,2004,0,.
22.1,1200,2006,134100,0.029628157,2.96,1073700,0.2372241,23.72,840600,0.185722808,18.57,2477700,0.547424935,54.74,4526100,2004,.,.
23,1200,2006,0,0,0,460800,0.10185001,10.19,0,0,0,4063500,0.89814999,89.81,4524300,2004,0,.
24,1200,2006,46800,0.010342084,1.03,1147500,0.253579952,25.36,711900,0.157319014,15.73,2619000,0.57875895,57.88,4525200,2004,1,0
25,1200,2006,114300,0.025293766,2.53,1050300,0.23242382,23.24,1693800,0.374825732,37.48,1660500,0.367456682,36.75,4518900,2004,-1,.
26,1200,2006,207900,0.046098583,4.61,1115100,0.247256037,24.73,1243800,0.275793255,27.58,1943100,0.430852125,43.09,4509900,2004,1,0
27,1200,2006,146700,0.03251546,3.25,850500,0.188509874,18.85,909900,0.201675643,20.17,2604600,0.577299023,57.73,4511700,2004,1,0
28,1200,2006,175500,0.038898863,3.89,1092600,0.242170357,24.22,1646100,0.364851386,36.49,1597500,0.354079394,35.41,4511700,2004,0,.
29,1200,2006,192600,0.042791442,4.28,376200,0.083583283,8.36,265500,0.058988202,5.9,3666600,0.814637073,81.46,4500900,2004,1,.
30,1200,2006,43200,0.009561753,0.96,878400,0.194422311,19.44,102600,0.022709163,2.27,3493800,0.773306773,77.33,4518000,2004,1,5
30.1,1200,2006,252000,0.055899381,5.59,745200,0.165302456,16.53,1706400,0.378518666,37.85,1804500,0.400279497,40.03,4508100,2004,.,.
31,1200,2006,87300,0.019303483,1.93,1227600,0.271442786,27.14,1296900,0.286766169,28.68,1910700,0.422487562,42.25,4522500,2004,0,.
31.1,1200,2006,92700,0.020522016,2.05,1221300,0.270372584,27.04,1263600,0.279736999,27.97,1939500,0.4293684,42.94,4517100,2004,.,.
32,1200,2006,153900,0.0340434,3.4,1392300,0.307983277,30.8,996300,0.220386223,22.04,1978200,0.437587099,43.76,4520700,2004,1,0
33,1200,2006,49500,0.010943096,1.09,1268100,0.28034222,28.03,219600,0.048547553,4.85,2986200,0.660167131,66.02,4523400,2004,0,.
34,1200,2006,198000,0.043894653,4.39,1016100,0.225259377,22.53,413100,0.091580208,9.16,2883600,0.639265762,63.93,4510800,2004,-1,.
34.1,1200,2006,82800,0.018301174,1.83,990900,0.219017307,21.9,14400,0.003182813,0.32,3436200,0.759498707,75.95,4524300,2004,.,.
35,1200,2006,34200,0.007586345,0.76,450900,0.100019964,10,93600,0.020762627,2.08,3929400,0.871631064,87.16,4508100,2004,.,.
35.1,1200,2006,288900,0.063944223,6.39,959400,0.212350598,21.24,37800,0.008366534,0.84,3231900,0.715338645,71.53,4518000,2004,1,0
35.2,1200,2006,306900,0.067901235,6.79,993600,0.219832736,21.98,37800,0.008363202,0.84,3181500,0.703902828,70.39,4519800,2004,.,.
36,1200,2006,34200,0.007578779,0.76,451800,0.100119665,10.01,92700,0.020542481,2.05,3933900,0.871759075,87.18,4512600,2004,1,0
37,1200,2006,0,0,0,234000,0.051772202,5.18,18900,0.004181601,0.42,4266900,0.944046197,94.4,4519800,2004,1,0
38,1200,2006,108000,0.023875846,2.39,152100,0.033625149,3.36,16200,0.003581377,0.36,4247100,0.938917628,93.89,4523400,2004,-1,.
38.1,1200,2006,132300,0.029265379,2.93,757800,0.167628907,16.76,62100,0.013736811,1.37,3568500,0.789368903,78.94,4520700,2004,.,.
39,1200,2006,27000,0.005967774,0.6,257400,0.056892779,5.69,21600,0.004774219,0.48,4218300,0.932365228,93.24,4524300,2004,-1,.
40,1200,2006,113400,0.025064651,2.51,1005300,0.222200119,22.22,856800,0.189377362,18.94,2548800,0.563357868,56.34,4524300,2004,-1,.
41,1200,2006,141300,0.03120652,3.12,1082700,0.239117472,23.91,476100,0.105148082,10.51,2827800,0.624527927,62.45,4527900,2004,-1,.
41.1,1200,2006,120600,0.026677284,2.67,464400,0.102727454,10.27,594900,0.131594665,13.16,3340800,0.739000597,73.9,4520700,2004,.,.
42,1200,2006,176400,0.038981702,3.9,135000,0.029832936,2.98,23400,0.005171042,0.52,4190400,0.92601432,92.6,4525200,2004,0,.
42.1,1200,2006,202500,0.044946065,4.49,504000,0.111865761,11.19,1653300,0.366959648,36.7,2145600,0.476228526,47.62,4505400,2004,.,.
42.2,1200,2006,262800,0.058202113,5.82,1473300,0.326290612,32.63,736200,0.163045645,16.3,2043000,0.45246163,45.25,4515300,2004,.,.
43,1200,2006,87300,0.019315014,1.93,790200,0.174830745,17.48,496800,0.109916368,10.99,3145500,0.695937873,69.59,4519800,2004,-1,.
44,1200,2006,135900,0.030007949,3,839700,0.185413355,18.54,522000,0.115262321,11.53,3031200,0.669316375,66.93,4528800,2004,0,.
44.1,1200,2006,81000,0.017899761,1.79,707400,0.156324582,15.63,27000,0.005966587,0.6,3709800,0.819809069,81.98,4525200,2004,.,.
45,1200,2006,198900,0.044138207,4.41,873900,0.1939285,19.39,539100,0.119632514,11.96,2894400,0.642300779,64.23,4506300,2004,.,.
45.1,1200,2006,24300,0.005376344,0.54,805500,0.17821585,17.82,1575000,0.348466746,34.85,2115000,0.467941059,46.79,4519800,2004,0,.
46,1200,2006,13500,0.002980922,0.3,742500,0.163950715,16.4,107100,0.023648649,2.36,3665700,0.809419714,80.94,4528800,2004,1,0
47,1200,2006,49500,0.010953993,1.1,448200,0.09918343,9.92,18000,0.00398327,0.4,4003200,0.885879307,88.59,4518900,2004,0,.
48,1200,2006,62100,0.013720422,1.37,927000,0.20481209,20.48,52200,0.011533108,1.15,3484800,0.769934381,76.99,4526100,2004,0,.
48.1,1200,2006,40500,0.008953442,0.9,492300,0.108834063,10.88,900,0.000198965,0.02,3989700,0.88201353,88.2,4523400,2004,.,.
49,1200,2006,54000,0.011954573,1.2,501300,0.110978283,11.1,50400,0.011157601,1.12,3911400,0.865909544,86.59,4517100,2004,0,.
50,1200,2006,58500,0.012922465,1.29,843300,0.186282306,18.63,52200,0.011530815,1.15,3573000,0.789264414,78.93,4527000,2004,0,.
51,1200,2006,57600,0.012728719,1.27,820800,0.181384248,18.14,90900,0.02008751,2.01,3555900,0.785799523,78.58,4525200,2004,1,.
52,1200,2006,76500,0.016898608,1.69,512100,0.113121272,11.31,80100,0.017693837,1.77,3858300,0.852286282,85.23,4527000,2004,-1,.
53,1200,2006,26100,0.005765408,0.58,795600,0.175745527,17.57,135900,0.030019881,3,3569400,0.788469185,78.85,4527000,2004,0,.
54,1200,2006,83700,0.018511146,1.85,878400,0.194267516,19.43,20700,0.004578025,0.46,3538800,0.782643312,78.26,4521600,2004,1,4
54.1,1200,2006,82800,0.018282989,1.83,892800,0.197138315,19.71,20700,0.004570747,0.46,3532500,0.780007949,78,4528800,2004,.,.
55,1200,2006,54000,0.011930801,1.19,952200,0.210379797,21.04,40500,0.008948101,0.89,3479400,0.7687413,76.87,4526100,2004,1,0
56,1200,2006,82800,0.018348624,1.83,647100,0.143398484,14.34,0,0,0,3782700,0.838252892,83.83,4512600,2004,1,2
57,1200,2006,219600,0.048528242,4.85,357300,0.078957836,7.9,39600,0.008750994,0.88,3908700,0.863762928,86.38,4525200,2004,-1,.
57.1,1200,2006,174600,0.03858393,3.86,781200,0.172633254,17.26,1748700,0.386435959,38.64,1820700,0.402346858,40.23,4525200,2004,.,.
58,1200,2006,297000,0.065632458,6.56,386100,0.085322196,8.53,96300,0.021280827,2.13,3745800,0.827764519,82.78,4525200,2004,.,.
58.1,1200,2006,220500,0.048765924,4.88,416700,0.092157643,9.22,54000,0.011942675,1.19,3830400,0.847133758,84.71,4521600,2004,0,.
58.2,1200,2006,263700,0.058553157,5.86,527400,0.117106315,11.71,1792800,0.398081535,39.81,1919700,0.426258993,42.63,4503600,2004,.,.
59,1200,2006,10800,0.002386635,0.24,594000,0.131264916,13.13,99900,0.022076372,2.21,3820500,0.844272076,84.43,4525200,2004,-1,.
59.1,1200,2006,45900,0.010151274,1.02,738900,0.163415605,16.34,429300,0.094944268,9.49,3307500,0.731488854,73.15,4521600,2004,.,.
60,1200,2006,116100,0.025671642,2.57,560700,0.1239801,12.4,269100,0.059502488,5.95,3576600,0.790845771,79.08,4522500,2004,1,4
61,1200,2006,13500,0.002984481,0.3,795600,0.175885396,17.59,117000,0.025865499,2.59,3597300,0.795264624,79.53,4523400,2004,.,.
61.1,1200,2006,0,0,0,586800,0.129648041,12.96,117000,0.02585007,2.59,3822300,0.844501889,84.45,4526100,2004,0,.
61.2,1200,2006,76500,0.016898608,1.69,1734300,0.383101392,38.31,449100,0.099204771,9.92,2267100,0.500795229,50.08,4527000,2004,.,.
62,1200,2006,108000,0.023880597,2.39,714600,0.15800995,15.8,48600,0.010746269,1.07,3651300,0.807363184,80.74,4522500,2004,-1,.
62.1,1200,2006,177300,0.039235212,3.92,578700,0.128062139,12.81,17100,0.003784107,0.38,3745800,0.828918542,82.89,4518900,2004,.,.
63,1200,2006,76500,0.016912057,1.69,1561500,0.345204934,34.52,448200,0.099084759,9.91,2437200,0.538798249,53.88,4523400,2004,0,.
64,1200,2006,171900,0.038017516,3.8,144000,0.031847134,3.18,31500,0.006966561,0.7,4174200,0.92316879,92.32,4521600,2004,.,.
64.1,1200,2006,98100,0.02166998,2.17,1545300,0.341351889,34.14,1389600,0.30695825,30.7,1494000,0.330019881,33,4527000,2004,1,0
65,1200,2006,189900,0.042048625,4.2,680400,0.150657633,15.07,18000,0.003985652,0.4,3627900,0.803308091,80.33,4516200,2004,0,.
65.1,1200,2006,238500,0.052746815,5.27,1676700,0.370820064,37.08,229500,0.050756369,5.08,2376900,0.525676752,52.57,4521600,2004,.,.
66,1200,2006,109800,0.02429311,2.43,847800,0.187574671,18.76,34200,0.007566706,0.76,3528000,0.780565512,78.06,4519800,2004,0,.
67,1200,2006,78300,0.017299662,1.73,798300,0.176377013,17.64,54000,0.011930801,1.19,3595500,0.794392523,79.44,4526100,2004,-1,.
68,1200,2006,179100,0.03960199,3.96,618300,0.136716418,13.67,36000,0.007960199,0.8,3689100,0.815721393,81.57,4522500,2004,-1,.
68.1,1200,2006,139500,0.030851911,3.09,1036800,0.229299363,22.93,72900,0.016122611,1.61,3272400,0.723726115,72.37,4521600,2004,.,.
69,1200,2006,109800,0.024385369,2.44,1136700,0.252448531,25.24,32400,0.007195683,0.72,3223800,0.715970418,71.6,4502700,2004,1,4
70,1200,2006,91800,0.02046549,2.05,1328400,0.296147673,29.61,84600,0.018860353,1.89,2980800,0.664526485,66.45,4485600,2004,-1,.
70.1,1200,2006,31500,0.006967947,0.7,265500,0.058729843,5.87,0,0,0,4223700,0.93430221,93.43,4520700,2004,.,.
70.2,1200,2006,287100,0.064107717,6.41,2376900,0.530747588,53.07,181800,0.040594855,4.06,1632600,0.364549839,36.45,4478400,2004,.,.
71,1200,2006,85500,0.019375892,1.94,1184400,0.268407098,26.84,60300,0.013665103,1.37,3082500,0.698551907,69.86,4412700,2004,-1,.
72,1200,2006,98100,0.021717474,2.17,1523700,0.337318191,33.73,79200,0.017533373,1.75,2816100,0.623430962,62.34,4517100,2004,0,.
72.1,1200,2006,22500,0.004969191,0.5,330300,0.072947724,7.29,0,0,0,4175100,0.922083085,92.21,4527900,2004,.,.
72.2,1200,2006,326700,0.07241173,7.24,1094400,0.24256932,24.26,1147500,0.254338719,25.43,1943100,0.430680231,43.07,4511700,2004,.,.
73,1200,2006,89100,0.019689737,1.97,1334700,0.29494829,29.49,173700,0.038385044,3.84,2927700,0.646976929,64.7,4525200,2004,0,.
74,1200,2006,30600,0.006768863,0.68,1017900,0.225164244,22.52,227700,0.050368306,5.04,3244500,0.717698587,71.77,4520700,2004,0,.
75,1200,2006,91800,0.020322773,2.03,793800,0.175732218,17.57,126000,0.027894003,2.79,3505500,0.776051006,77.61,4517100,2004,-1,.
76,1200,2006,63900,0.014126542,1.41,710100,0.156983685,15.7,126000,0.027855153,2.79,3623400,0.80103462,80.1,4523400,2004,-1,.
77,1200,2006,12600,0.002783854,0.28,335700,0.074169815,7.42,2700,0.00059654,0.06,4175100,0.922449791,92.24,4526100,2004,1,5
78,1200,2006,94500,0.020908005,2.09,629100,0.139187575,13.92,35100,0.00776583,0.78,3761100,0.83213859,83.21,4519800,2004,-1,.
78.1,1200,2006,132300,0.029288703,2.93,1188000,0.263000598,26.3,83700,0.018529588,1.85,3113100,0.689181112,68.92,4517100,2004,.,.
79,1200,2006,132300,0.02931791,2.93,1187100,0.263063422,26.31,83700,0.018548065,1.85,3109500,0.689070602,68.91,4512600,2004,0,.
79.1,1200,2006,132300,0.029213037,2.92,1130400,0.249602544,24.96,699300,0.154411765,15.44,2566800,0.566772655,56.68,4528800,2004,.,.
80,1200,2006,24300,0.005375274,0.54,2208600,0.488552658,48.86,422100,0.093370496,9.34,1865700,0.412701573,41.27,4520700,2004,.,.
80.1,1200,2006,24300,0.005374204,0.54,2210400,0.488853503,48.89,421200,0.093152866,9.32,1865700,0.412619427,41.26,4521600,2004,1,1
81,1200,2006,18900,0.004177442,0.42,1041300,0.230157151,23.02,519300,0.114780187,11.48,2944800,0.65088522,65.09,4524300,2004,-1,.
81.1,1200,2006,15300,0.003383758,0.34,645300,0.142714968,14.27,178200,0.039410828,3.94,3682800,0.814490446,81.45,4521600,2004,.,.
82,1200,2006,130500,0.02881558,2.88,1114200,0.246025437,24.6,47700,0.010532591,1.05,3236400,0.714626391,71.46,4528800,2004,1,4
83,1200,2006,248400,0.054991034,5.5,873900,0.193464834,19.35,512100,0.113369197,11.34,2882700,0.638174935,63.82,4517100,2004,-1,.
84,1200,2006,54000,0.011930801,1.19,849600,0.187711275,18.77,101700,0.022469676,2.25,3520800,0.777888248,77.79,4526100,2004,1,2
84.1,1200,2006,19800,0.004379853,0.44,873000,0.193111686,19.31,56700,0.012542305,1.25,3571200,0.789966156,79,4520700,2004,.,.
85,1200,2006,56700,0.012522361,1.25,767700,0.169548797,16.95,130500,0.028821308,2.88,3573000,0.789107533,78.91,4527900,2004,0,.
85.1,1200,2006,256500,0.05666004,5.67,718200,0.158648111,15.86,9900,0.002186879,0.22,3542400,0.78250497,78.25,4527000,2004,.,.
86,1200,2006,38700,0.008548708,0.85,841500,0.185884692,18.59,92700,0.020477137,2.05,3554100,0.785089463,78.51,4527000,2004,1,0
87,1200,2006,38700,0.008567444,0.86,824400,0.182506475,18.25,247500,0.054791791,5.48,3406500,0.75413429,75.41,4517100,2004,1,0
88,1200,2006,44100,0.009762901,0.98,887400,0.196453477,19.65,205200,0.045427376,4.54,3380400,0.748356246,74.84,4517100,2004,-1,.
89,1200,2006,34200,0.007568214,0.76,904500,0.200159331,20.02,55800,0.012348138,1.23,3524400,0.779924318,77.99,4518900,2004,-1,.
90,1200,2006,45900,0.010151274,1.02,855000,0.189092357,18.91,228600,0.050557325,5.06,3392100,0.750199045,75.02,4521600,2004,1,0
90.1,1200,2006,0,0,0,413100,0.091452481,9.15,5400,0.001195457,0.12,4098600,0.907352062,90.74,4517100,2004,.,.
91,1200,2006,44100,0.009760956,0.98,869400,0.192430279,19.24,238500,0.052788845,5.28,3366000,0.74501992,74.5,4518000,2004,0,.
92,1200,2006,43200,0.009556042,0.96,549900,0.121640454,12.16,282600,0.062512443,6.25,3645000,0.806291061,80.63,4520700,2004,-1,.
93,1200,2006,56700,0.012517385,1.25,746100,0.164712895,16.47,145800,0.032187562,3.22,3581100,0.790582158,79.06,4529700,2004,-1,.
93.1,1200,2006,58500,0.012922465,1.29,1400400,0.309343936,30.93,806400,0.178131213,17.81,2261700,0.499602386,49.96,4527000,2004,.,.
94,1200,2006,279000,0.061752988,6.18,1791000,0.396414343,39.64,136800,0.030278884,3.03,2311200,0.511553785,51.16,4518000,2004,1,4
94.1,1200,2006,20700,0.004574383,0.46,918000,0.202863962,20.29,86400,0.019093079,1.91,3500100,0.773468576,77.35,4525200,2004,.,.
95,1200,2006,278100,0.061492537,6.15,1197000,0.264676617,26.47,53100,0.011741294,1.17,2994300,0.662089552,66.21,4522500,2004,-1,.
95.1,1200,2006,111600,0.02475544,2.48,414900,0.092034338,9.2,365400,0.081054103,8.11,3616200,0.802156119,80.22,4508100,2004,.,.
95.2,1200,2006,135000,0.029821074,2.98,699300,0.154473161,15.45,268200,0.059244533,5.92,3424500,0.756461233,75.65,4527000,2004,.,.
96,1200,2006,153900,0.034056961,3.41,930600,0.205935073,20.59,0,0,0,3434400,0.760007967,76,4518900,2004,-1,.
97,1200,2006,4500,0.000995025,0.1,825300,0.182487562,18.25,128700,0.028457711,2.85,3564000,0.788059701,78.81,4522500,2004,1,4
97.1,1200,2006,122400,0.027107833,2.71,1869300,0.413992426,41.4,451800,0.100059797,10.01,2071800,0.458839944,45.88,4515300,2004,.,.
98,1200,2006,286200,0.063359235,6.34,1515600,0.335525005,33.55,90900,0.020123531,2.01,2624400,0.58099223,58.1,4517100,2004,0,.
98.1,1200,2006,0,0,0,560700,0.123856859,12.39,0,0,0,3966300,0.876143141,87.61,4527000,2004,.,.
99,1200,2006,202500,0.044865404,4.49,1853100,0.410568295,41.06,214200,0.047457627,4.75,2243700,0.497108674,49.71,4513500,2004,0,.
100,1200,2006,89100,0.019705414,1.97,464400,0.102707006,10.27,74700,0.016520701,1.65,3893400,0.861066879,86.11,4521600,2004,-1,.
100.1,1200,2006,142200,0.031449045,3.14,958500,0.211982484,21.2,312300,0.069068471,6.91,3108600,0.6875,68.75,4521600,2004,.,.
101,1200,2006,81900,0.018113057,1.81,819000,0.181130573,18.11,319500,0.070660828,7.07,3301200,0.730095541,73.01,4521600,2004,0,.
102,1200,2006,67500,0.014922404,1.49,1664100,0.367886988,36.79,551700,0.121965778,12.2,2240100,0.495224831,49.52,4523400,2004,0,.
102.1,1200,2006,89100,0.019685822,1.97,464400,0.102604892,10.26,0,0,0,3972600,0.877709286,87.77,4526100,2004,.,.
103,1200,2006,114300,0.025313933,2.53,2388600,0.529001395,52.9,1009800,0.223639625,22.36,1002600,0.222045047,22.2,4515300,2004,-1,.
104,1200,2006,76500,0.016901969,1.69,2606400,0.575860012,57.59,909000,0.200835156,20.08,934200,0.206402863,20.64,4526100,2004,1,0
105,1200,2006,134100,0.029645842,2.96,2160000,0.477516912,47.75,1023300,0.226223637,22.62,1206000,0.266613609,26.66,4523400,2004,0,.
105.1,1200,2006,108900,0.024055666,2.41,2124000,0.469184891,46.92,865800,0.191252485,19.13,1428300,0.315506958,31.55,4527000,2004,.,.
106,1200,2006,126000,0.027855153,2.79,2361600,0.522085157,52.21,1143000,0.252686033,25.27,892800,0.197373657,19.74,4523400,2004,-1,.
107,1200,2006,27000,0.005978477,0.6,2127600,0.471104026,47.11,496800,0.110003986,11,1864800,0.412913511,41.29,4516200,2004,-1,.
108,1200,2006,114300,0.02525353,2.53,1700100,0.375621396,37.56,774900,0.171206999,17.12,1936800,0.427918075,42.79,4526100,2004,1,0
109,1200,2006,142200,0.031424025,3.14,1332900,0.294550517,29.46,814500,0.179992045,18,2235600,0.494033413,49.4,4525200,2004,-1,.
110,1200,2006,15300,0.003383758,0.34,998100,0.220740446,22.07,221400,0.048964968,4.9,3286800,0.726910828,72.69,4521600,2004,-1,.
111,1200,2006,65700,0.014518695,1.45,1268100,0.280230708,28.02,100800,0.022275259,2.23,3090600,0.682975338,68.3,4525200,2004,1,0
112,1200,2006,103500,0.022922065,2.29,2226600,0.493123381,49.31,171000,0.037871238,3.79,2014200,0.446083317,44.61,4515300,2004,0,.
112.1,1200,2006,25200,0.005573248,0.56,999000,0.22093949,22.09,170100,0.037619427,3.76,3327300,0.735867834,73.59,4521600,2004,.,.
113,1200,2006,76500,0.016935645,1.69,1884600,0.417214585,41.72,457200,0.101215382,10.12,2098800,0.464634389,46.46,4517100,2004,-1,.
114,1200,2006,75600,0.016709767,1.67,1991700,0.440222797,44.02,294300,0.065048737,6.5,2162700,0.478018699,47.8,4524300,2004,1,0
114.1,1200,2006,108000,0.023852117,2.39,1703700,0.376267144,37.63,298800,0.065990857,6.6,2417400,0.533889883,53.39,4527900,2004,.,.
114.2,1200,2006,152100,0.033678756,3.37,1332900,0.295137505,29.51,153000,0.033878039,3.39,2878200,0.637305699,63.73,4516200,2004,.,.
115,1200,2006,118800,0.026284349,2.63,2118600,0.468737555,46.87,508500,0.112504978,11.25,1773900,0.392473118,39.25,4519800,2004,0,.
116,1200,2006,116100,0.025656325,2.57,2189700,0.483890215,48.39,467100,0.103221957,10.32,1752300,0.387231504,38.72,4525200,2004,0,.
117,1200,2006,110700,0.02444842,2.44,2038500,0.450208706,45.02,630900,0.139336116,13.93,1747800,0.386006758,38.6,4527900,2004,1,5
118,1200,2006,178200,0.039395145,3.94,1699200,0.375646637,37.56,944100,0.208714684,20.87,1701900,0.376243534,37.62,4523400,2004,1,4
119,1200,2006,171900,0.038025085,3.8,1967400,0.435198089,43.52,1304100,0.288473024,28.85,1077300,0.238303803,23.83,4520700,2004,-1,.
120,1200,2006,144900,0.032046178,3.2,2198700,0.486265924,48.63,1102500,0.243829618,24.38,1075500,0.23785828,23.79,4521600,2004,-1,.
121,1200,2006,36900,0.008157581,0.82,552600,0.122164743,12.22,0,0,0,3933900,0.869677676,86.97,4523400,2004,-1,.
