Nest Box,Radial Zone,NLCD Year,Developed m2,Development P,Development %,Natural m2,Natural P,Natural %,Agriculture m2,Agriculture P,Agriculture %,Other m2,Other P,Other %,Total m2,Study Year,Occupancy,Success
49,725,2001,1800,0.001089325,0.11,288900,0.174836601,17.48,81000,0.049019608,4.9,1280700,0.775054466,77.51,1652400,2002,-1,.
50,725,2001,900,0.00054615,0.05,588600,0.357181868,35.72,16200,0.009830694,0.98,1042200,0.632441289,63.24,1647900,2002,0,.
51,725,2001,900,0.00054615,0.05,523800,0.317859093,31.79,45900,0.027853632,2.79,1077300,0.653741125,65.37,1647900,2002,0,.
52,725,2001,900,0.00054407,0.05,260100,0.157236126,15.72,18900,0.011425462,1.14,1374300,0.830794342,83.08,1654200,2002,-1,.
53,725,2001,0,0,0,189900,0.115174672,11.52,67500,0.040938865,4.09,1391400,0.843886463,84.39,1648800,2002,0,.
54,725,2001,1800,0.001089918,0.11,393300,0.238147139,23.81,14400,0.008719346,0.87,1242000,0.752043597,75.2,1651500,2002,-1,.
54.1,725,2001,1800,0.001088139,0.11,391500,0.236670294,23.67,14400,0.008705114,0.87,1246500,0.753536453,75.35,1654200,2002,.,.
55,725,2001,0,0,0,718200,0.435114504,43.51,9000,0.005452563,0.55,923400,0.559432933,55.94,1650600,2002,0,.
56,725,2001,0,0,0,274500,0.166575642,16.66,2700,0.001638449,0.16,1370700,0.831785909,83.18,1647900,2002,0,.
57,725,2001,5400,0.003269755,0.33,93600,0.056675749,5.67,1800,0.001089918,0.11,1550700,0.938964578,93.9,1651500,2002,0,.
57.1,725,2001,0,0,0,1145700,0.694868996,69.49,158400,0.096069869,9.61,344700,0.209061135,20.91,1648800,2002,.,.
58,725,2001,0,0,0,484200,0.293507911,29.35,75600,0.045826514,4.58,1089900,0.660665576,66.07,1649700,2002,-1,.
58.1,725,2001,0,0,0,144000,0.08709853,8.71,18900,0.011431682,1.14,1490400,0.901469788,90.15,1653300,2002,.,.
58.2,725,2001,41400,0.025191676,2.52,392400,0.238773275,23.88,805500,0.490142388,49.01,404100,0.245892662,24.59,1643400,2002,.,.
59,725,2001,900,0.000544959,0.05,331200,0.200544959,20.05,69300,0.041961853,4.2,1250100,0.756948229,75.69,1651500,2002,0,.
59.1,725,2001,0,0,0,308700,0.186920981,18.69,196200,0.11880109,11.88,1146600,0.694277929,69.43,1651500,2002,.,.
60,725,2001,1800,0.001091107,0.11,438300,0.26568467,26.57,186300,0.112929624,11.29,1023300,0.620294599,62.03,1649700,2002,0,.
61,725,2001,900,0.000544662,0.05,171900,0.104030501,10.4,59400,0.035947712,3.59,1420200,0.859477124,85.95,1652400,2002,-1,.
61.1,725,2001,1800,0.001092299,0.11,203400,0.12342982,12.34,16200,0.009830694,0.98,1426500,0.865647187,86.56,1647900,2002,.,.
61.2,725,2001,0,0,0,1316700,0.798145117,79.81,18000,0.010911075,1.09,315000,0.190943808,19.09,1649700,2002,.,.
62,725,2001,1800,0.001092299,0.11,445500,0.270344074,27.03,77400,0.046968869,4.7,1123200,0.681594757,68.16,1647900,2002,-1,.
62.1,725,2001,1800,0.001092299,0.11,202500,0.12288367,12.29,42300,0.025669033,2.57,1401300,0.850354997,85.04,1647900,2002,.,.
63,725,2001,900,0.00056338,0.06,826200,0.517183099,51.72,43200,0.027042254,2.7,727200,0.455211268,45.52,1597500,2002,0,.
64,725,2001,2700,0.001635769,0.16,23400,0.014176663,1.42,13500,0.008178844,0.82,1611000,0.976008724,97.6,1650600,2002,0,.
64.1,725,2001,0,0,0,834300,0.505452563,50.55,392400,0.237731734,23.77,423900,0.256815703,25.68,1650600,2002,.,.
65,725,2001,12600,0.007654456,0.77,384300,0.233460908,23.35,36000,0.021869874,2.19,1213200,0.737014762,73.7,1646100,2002,0,.
65.1,725,2001,1800,0.001088732,0.11,1049400,0.634730539,63.47,98100,0.059335874,5.93,504000,0.304844856,30.48,1653300,2002,.,.
66,725,2001,1800,0.001089325,0.11,426600,0.258169935,25.82,30600,0.018518519,1.85,1193400,0.722222222,72.22,1652400,2002,0,.
67,725,2001,900,0.000545852,0.05,738000,0.447598253,44.76,900,0.000545852,0.05,909000,0.551310044,55.13,1648800,2002,0,.
68,725,2001,0,0,0,582300,0.35335882,35.34,27000,0.016384489,1.64,1038600,0.63025669,63.03,1647900,2002,0,.
68.1,725,2001,0,0,0,791100,0.476681128,47.67,27000,0.01626898,1.63,841500,0.507049892,50.7,1659600,2002,.,.
69,725,2001,1800,0.001088732,0.11,217800,0.131736527,13.17,159300,0.096352749,9.64,1274400,0.770821992,77.08,1653300,2002,0,.
70,725,2001,0,0,0,780300,0.473253275,47.33,97200,0.058951965,5.9,771300,0.46779476,46.78,1648800,2002,0,.
70.1,725,2001,5400,0.003266195,0.33,54000,0.032661949,3.27,3600,0.002177463,0.22,1590300,0.961894393,96.19,1653300,2002,.,.
70.2,725,2001,18000,0.010893246,1.09,1287000,0.778867102,77.89,103500,0.062636166,6.26,243900,0.147603486,14.76,1652400,2002,.,.
71,725,2001,0,0,0,714600,0.433169667,43.32,102600,0.062193126,6.22,832500,0.504637207,50.46,1649700,2002,0,.
72,725,2001,0,0,0,730800,0.442989634,44.3,145800,0.088379705,8.84,773100,0.46863066,46.86,1649700,2002,0,.
72.1,725,2001,4500,0.002726281,0.27,119700,0.072519084,7.25,3600,0.002181025,0.22,1522800,0.92257361,92.26,1650600,2002,.,.
72.2,725,2001,26100,0.016219239,1.62,974700,0.605704698,60.57,126900,0.07885906,7.89,481500,0.299217002,29.92,1609200,2002,.,.
73,725,2001,900,0.000545554,0.05,790200,0.478996181,47.9,74700,0.04528096,4.53,783900,0.475177305,47.52,1649700,2002,0,.
74,725,2001,900,0.000543774,0.05,729000,0.44045677,44.05,183600,0.110929853,11.09,741600,0.448069603,44.81,1655100,2002,1,0
75,725,2001,0,0,0,510300,0.309160305,30.92,6300,0.003816794,0.38,1134000,0.687022901,68.7,1650600,2002,0,.
76,725,2001,0,0,0,389700,0.236095965,23.61,6300,0.003816794,0.38,1254600,0.760087241,76.01,1650600,2002,1,5
77,725,2001,900,0.00054615,0.05,114300,0.069361005,6.94,18000,0.010922993,1.09,1514700,0.919169853,91.92,1647900,2002,0,.
78,725,2001,0,0,0,438300,0.265539804,26.55,5400,0.003271538,0.33,1206900,0.731188659,73.12,1650600,2002,-1,.
78.1,725,2001,900,0.000544959,0.05,531000,0.321525886,32.15,53100,0.032152589,3.22,1066500,0.645776567,64.58,1651500,2002,.,.
79,725,2001,900,0.000544662,0.05,531900,0.321895425,32.19,53100,0.032135076,3.21,1066500,0.645424837,64.54,1652400,2002,0,.
79.1,725,2001,0,0,0,925200,0.560523446,56.05,210600,0.127589967,12.76,514800,0.311886587,31.19,1650600,2002,.,.
80,725,2001,0,0,0,1224000,0.741144414,74.11,171900,0.104087193,10.41,255600,0.154768392,15.48,1651500,2002,-1,.
80.1,725,2001,0,0,0,1221300,0.739106754,73.91,171000,0.103485839,10.35,260100,0.157407407,15.74,1652400,2002,.,.
81,725,2001,1800,0.001090513,0.11,697500,0.42257361,42.26,43200,0.026172301,2.62,908100,0.550163577,55.02,1650600,2002,0,.
81.1,725,2001,0,0,0,389700,0.23583878,23.58,207000,0.125272331,12.53,1055700,0.638888889,63.89,1652400,2002,.,.
82,725,2001,0,0,0,563400,0.341703057,34.17,44100,0.026746725,2.67,1041300,0.631550218,63.16,1648800,2002,0,.
83,725,2001,0,0,0,520200,0.315674495,31.57,98100,0.059530311,5.95,1029600,0.624795194,62.48,1647900,2002,0,.
84,725,2001,0,0,0,621900,0.377802078,37.78,63000,0.03827228,3.83,961200,0.583925642,58.39,1646100,2002,1,0
84.1,725,2001,0,0,0,720000,0.435967302,43.6,25200,0.015258856,1.53,906300,0.548773842,54.88,1651500,2002,.,.
85,725,2001,0,0,0,572400,0.346972177,34.7,92700,0.056192035,5.62,984600,0.596835788,59.68,1649700,2002,0,.
85.1,725,2001,900,0.00054615,0.05,454500,0.275805571,27.58,19800,0.012015292,1.2,1172700,0.711632987,71.16,1647900,2002,.,.
86,725,2001,0,0,0,481500,0.292509568,29.25,9900,0.006014215,0.6,1154700,0.701476217,70.15,1646100,2002,0,.
87,725,2001,0,0,0,458100,0.277838428,27.78,20700,0.012554585,1.26,1170000,0.709606987,70.96,1648800,2002,0,.
88,725,2001,0,0,0,584100,0.353678474,35.37,65700,0.039782016,3.98,1001700,0.60653951,60.65,1651500,2002,-1,.
89,725,2001,0,0,0,723600,0.437670114,43.77,50400,0.030484486,3.05,879300,0.5318454,53.18,1653300,2002,-1,.
90,725,2001,0,0,0,576000,0.348583878,34.86,65700,0.039760349,3.98,1010700,0.611655773,61.17,1652400,2002,-1,.
90.1,725,2001,0,0,0,338400,0.204904632,20.49,900,0.000544959,0.05,1312200,0.794550409,79.46,1651500,2002,.,.
91,725,2001,0,0,0,535500,0.324250681,32.43,65700,0.039782016,3.98,1050300,0.635967302,63.6,1651500,2002,0,.
92,725,2001,0,0,0,234000,0.141689373,14.17,62100,0.03760218,3.76,1355400,0.820708447,82.07,1651500,2002,1,4
93,725,2001,0,0,0,546300,0.331512835,33.15,92700,0.056253413,5.63,1008900,0.612233752,61.22,1647900,2002,0,.
93.1,725,2001,0,0,0,935100,0.565596081,56.56,99000,0.05988024,5.99,619200,0.37452368,37.45,1653300,2002,.,.
94,725,2001,0,0,0,1012500,0.621546961,62.15,193500,0.11878453,11.88,423000,0.259668508,25.97,1629000,2002,0,.
94.1,725,2001,3600,0.002183406,0.22,491400,0.298034934,29.8,36000,0.021834061,2.18,1117800,0.677947598,67.79,1648800,2002,.,.
95,725,2001,900,0.000550358,0.06,792000,0.484314805,48.43,138600,0.084755091,8.48,703800,0.430379747,43.04,1635300,2002,0,.
95.1,725,2001,1800,0.001089918,0.11,118800,0.071934605,7.19,12600,0.007629428,0.76,1518300,0.919346049,91.93,1651500,2002,.,.
95.2,725,2001,900,0.000545554,0.05,702900,0.426077469,42.61,124200,0.075286416,7.53,821700,0.498090562,49.81,1649700,2002,.,.
96,725,2001,0,0,0,864900,0.523991276,52.4,9000,0.005452563,0.55,776700,0.470556161,47.06,1650600,2002,-1,.
97,725,2001,10800,0.006779661,0.68,657000,0.412429379,41.24,0,0,0,925200,0.58079096,58.08,1593000,2002,0,.
97.1,725,2001,9000,0.005452563,0.55,1076400,0.652126499,65.21,75600,0.045801527,4.58,489600,0.296619411,29.66,1650600,2002,.,.
98,725,2001,1800,0.001101928,0.11,890100,0.544903581,54.49,181800,0.111294766,11.13,559800,0.342699725,34.27,1633500,2002,0,.
98.1,725,2001,0,0,0,238500,0.144650655,14.47,0,0,0,1410300,0.855349345,85.53,1648800,2002,.,.
99,725,2001,900,0.000545852,0.05,1168200,0.708515284,70.85,46800,0.028384279,2.84,432900,0.262554585,26.26,1648800,2002,-1,.
100,725,2001,0,0,0,371700,0.225313693,22.53,158400,0.096017458,9.6,1119600,0.678668849,67.87,1649700,2002,0,.
100.1,725,2001,0,0,0,601200,0.363834423,36.38,63000,0.038126362,3.81,988200,0.598039216,59.8,1652400,2002,.,.
101,725,2001,0,0,0,333900,0.202179837,20.22,109800,0.066485014,6.65,1207800,0.73133515,73.13,1651500,2002,-1,.
102,725,2001,1800,0.001089325,0.11,980100,0.593137255,59.31,58500,0.03540305,3.54,612000,0.37037037,37.04,1652400,2002,-1,.
102.1,725,2001,2700,0.001636661,0.16,286200,0.173486088,17.35,50400,0.030551009,3.06,1310400,0.794326241,79.43,1649700,2002,.,.
103,725,2001,900,0.000544959,0.05,1128600,0.683378747,68.34,121500,0.073569482,7.36,400500,0.242506812,24.25,1651500,2002,0,.
104,725,2001,900,0.000545852,0.05,1203300,0.729803493,72.98,123300,0.074781659,7.48,321300,0.194868996,19.49,1648800,2002,-1,.
105,725,2001,900,0.000545554,0.05,1077300,0.653027823,65.3,379800,0.230223677,23.02,191700,0.116202946,11.62,1649700,2002,0,.
105.1,725,2001,900,0.000545852,0.05,951300,0.576965066,57.7,384300,0.233078603,23.31,312300,0.18941048,18.94,1648800,2002,.,.
106,725,2001,900,0.000545554,0.05,1132200,0.686306601,68.63,223200,0.135297327,13.53,293400,0.177850518,17.79,1649700,2002,-1,.
107,725,2001,900,0.000544662,0.05,1127700,0.682461874,68.25,168300,0.101851852,10.19,355500,0.215141612,21.51,1652400,2002,1,3
108,725,2001,900,0.000545554,0.05,892800,0.541189307,54.12,277200,0.168030551,16.8,478800,0.290234588,29.02,1649700,2002,1,3
109,725,2001,12600,0.007683864,0.77,734400,0.447859495,44.79,175500,0.107025247,10.7,717300,0.437431394,43.74,1639800,2002,0,.
110,725,2001,0,0,0,753300,0.455634186,45.56,84600,0.051170386,5.12,815400,0.493195427,49.32,1653300,2002,-1,.
111,725,2001,0,0,0,1050300,0.636661211,63.67,77400,0.046917621,4.69,522000,0.316421167,31.64,1649700,2002,0,.
112,725,2001,0,0,0,1187100,0.719193021,71.92,28800,0.017448201,1.74,434700,0.263358779,26.34,1650600,2002,0,.
112.1,725,2001,9900,0.00599455,0.6,499500,0.302452316,30.25,54900,0.033242507,3.32,1087200,0.658310627,65.83,1651500,2002,.,.
113,725,2001,0,0,0,805500,0.488270595,48.83,79200,0.048008729,4.8,765000,0.463720676,46.37,1649700,2002,.,.
